Symbol,Date,Value
05M.F,2022-01-05,63.816395003456016
05M.F,2022-01-10,65.12957759860245
05M.F,2022-01-13,66.77943633755959
05M.F,2022-01-19,68.90603293091311
05M.F,2022-01-21,71.54935723986699
05M.F,2022-01-24,79.37928145841451
05M.F,2022-01-27,69.31846819926308
05M.F,2022-01-31,68.18540313478796
05M.F,2022-02-01,63.78124157800936
05M.F,2022-02-02,63.80603206282656
05M.F,2022-02-04,66.53189374232932
05M.F,2022-02-10,60.45413156333734
05M.F,2022-02-14,70.40157163584331
05M.F,2022-02-21,71.42942308038299
05M.F,2022-02-23,58.51147367335953
05M.F,2022-03-04,68.13883203036804
05M.F,2022-03-11,68.03283509823439
05M.F,2022-03-15,59.27996529654626
05M.F,2022-03-25,67.26481259430493
05M.F,2022-03-29,65.88795199345236
05M.F,2022-03-30,64.04032275527413
05M.F,2022-03-31,68.21543282545136
05M.F,2022-04-06,68.4922048943542
05M.F,2022-04-07,65.29984786526938
05M.F,2022-04-22,67.95755258274772
05M.F,2022-04-25,58.812418354848084
05M.F,2022-04-29,70.75735200168467
05M.F,2022-05-26,62.81460824017859
05M.F,2022-05-31,65.79042176418116
05M.F,2022-06-01,69.44963446969446
05M.F,2022-06-03,62.05534417684434
05M.F,2022-06-07,64.19876503250468
05M.F,2022-06-10,64.2765855055832
05M.F,2022-06-14,65.23224252540189
05M.F,2022-06-21,58.88156053064474
05M.F,2022-06-22,60.151344583490605
05M.F,2022-06-27,67.05554877229687
05M.F,2022-06-29,61.55377100822169
05M.F,2022-07-05,64.18082324755083
05M.F,2022-07-07,63.89482130158527
05M.F,2022-07-20,71.8254771506804
05M.F,2022-07-22,71.70856071617214
05M.F,2022-07-25,66.69533644244369
05M.F,2022-08-01,61.89646360131808
05M.F,2022-08-03,66.88641702512201
0YX.F,2022-01-04,165.74345049903053
0YX.F,2022-01-05,152.95252907875192
0YX.F,2022-01-06,148.2304218543186
0YX.F,2022-01-07,131.7327332443296
0YX.F,2022-01-10,138.72685695287484
0YX.F,2022-01-12,138.1589457390979
0YX.F,2022-01-13,131.85237707776128
0YX.F,2022-01-14,142.4986004998914
0YX.F,2022-01-19,142.06053858502892
0YX.F,2022-01-20,131.1263817693007
0YX.F,2022-01-24,126.56882421215818
0YX.F,2022-01-25,117.67963788090712
0YX.F,2022-01-26,124.58148733177397
0YX.F,2022-01-27,124.61102711301774
0YX.F,2022-01-28,126.24526381942275
0YX.F,2022-01-31,123.0850408467053
0YX.F,2022-02-01,128.61960705628331
0YX.F,2022-02-02,125.37347428574756
0YX.F,2022-02-03,125.48706838783562
0YX.F,2022-02-07,126.4830084796666
0YX.F,2022-02-08,124.04182213921831
0YX.F,2022-02-09,133.51816413256677
0YX.F,2022-02-10,123.45971978373431
0YX.F,2022-02-11,110.10077340755505
0YX.F,2022-02-14,117.17158464381976
0YX.F,2022-02-15,112.50314266628878
0YX.F,2022-02-16,95.22239846635979
0YX.F,2022-02-17,95.49565753057789
0YX.F,2022-02-18,102.1904022717692
0YX.F,2022-02-21,101.51156146084233
0YX.F,2022-02-23,100.27348220069679
0YX.F,2022-02-25,107.89260837433557
0YX.F,2022-02-28,97.82459026081247
0YX.F,2022-03-01,104.17453956503842
0YX.F,2022-03-02,99.62673887181117
0YX.F,2022-03-03,109.26126767077379
0YX.F,2022-03-04,107.71095341948246
0YX.F,2022-03-07,96.10914839614307
0YX.F,2022-03-08,94.6483131152161
0YX.F,2022-03-09,92.06668341744874
0YX.F,2022-03-10,108.83142515807866
0YX.F,2022-03-14,99.90648931411276
0YX.F,2022-03-15,88.54541955436905
0YX.F,2022-03-16,89.99193420153705
0YX.F,2022-03-17,99.82579726484909
0YX.F,2022-03-24,98.55914988340989
0YX.F,2022-03-25,108.72510305822433
0YX.F,2022-03-28,111.8767613641953
0YX.F,2022-03-30,99.7407183691304
0YX.F,2022-03-31,94.28199662163374
0YX.F,2022-04-04,106.61395812589896
0YX.F,2022-04-05,97.33598289275437
0YX.F,2022-04-06,106.5205494571684
0YX.F,2022-04-07,114.59133308887121
0YX.F,2022-04-08,100.29717291770982
0YX.F,2022-04-11,87.538361866718
0YX.F,2022-04-12,92.1604228628116
0YX.F,2022-04-14,104.47850390703812
0YX.F,2022-04-20,97.68079638751946
0YX.F,2022-04-21,94.15800816492683
0YX.F,2022-04-22,99.32258947275687
0YX.F,2022-04-25,96.67066223204394
0YX.F,2022-04-26,91.96288439767959
0YX.F,2022-04-27,95.67175171966989
0YX.F,2022-04-29,99.73057681387941
0YX.F,2022-05-02,101.01384104648088
0YX.F,2022-05-03,88.08781210366968
0YX.F,2022-05-04,91.43551406962807
0YX.F,2022-05-06,87.82190620920565
0YX.F,2022-05-09,78.96059901349807
0YX.F,2022-05-10,78.13096639123812
0YX.F,2022-05-11,90.47586255902472
0YX.F,2022-05-12,88.2697675095682
0YX.F,2022-05-17,95.1758363772498
0YX.F,2022-05-18,96.2747432748543
0YX.F,2022-05-20,90.18620424359207
0YX.F,2022-05-23,86.53992729546984
0YX.F,2022-05-24,97.15645711759335
0YX.F,2022-05-26,88.31717383983124
0YX.F,2022-05-27,87.88799267744372
0YX.F,2022-05-30,95.69595389003709
0YX.F,2022-05-31,85.8471445227222
0YX.F,2022-06-01,92.34980583606787
0YX.F,2022-06-06,87.64092590544062
0YX.F,2022-06-10,87.14084473417334
0YX.F,2022-06-13,94.15681814567266
0YX.F,2022-06-14,93.4930293342789
0YX.F,2022-06-15,89.78872530965208
0YX.F,2022-06-16,90.08651821060752
0YX.F,2022-06-17,78.45089537375367
0YX.F,2022-06-20,75.03124609533442
0YX.F,2022-06-21,87.34746955008183
0YX.F,2022-06-24,90.96137351401602
0YX.F,2022-06-27,84.94168962657866
0YX.F,2022-06-29,90.35948102583336
0YX.F,2022-06-30,86.4287198071091
0YX.F,2022-07-01,80.23082656201257
0YX.F,2022-07-04,81.73844119865629
0YX.F,2022-07-05,100.23310064111016
0YX.F,2022-07-18,108.19805803714421
0YX.F,2022-07-19,88.09136629004628
0YX.F,2022-07-22,107.29709893399907
0YX.F,2022-07-27,110.15505485799366
0YX.F,2022-07-29,107.10612052034949
0YX.F,2022-08-01,106.41220857134545
0YX.F,2022-08-02,105.11621096503691
0YX.F,2022-08-03,114.74450071559704
0YX0.F,2022-01-03,94.83467461246265
0YX0.F,2022-01-04,97.81046196189622
0YX0.F,2022-01-06,79.76402114182194
0YX0.F,2022-01-07,74.27723594662832
0YX0.F,2022-01-10,84.54075910074668
0YX0.F,2022-01-11,75.32181730073644
0YX0.F,2022-01-12,85.18318586755703
0YX0.F,2022-01-13,79.90257455441697
0YX0.F,2022-01-14,78.11740508521515
0YX0.F,2022-01-19,75.18344412299558
0YX0.F,2022-01-20,75.42418180120728
0YX0.F,2022-01-21,80.17672711200142
0YX0.F,2022-01-24,74.17766099114654
0YX0.F,2022-01-25,76.25429469872505
0YX0.F,2022-01-26,64.6829029455654
0YX0.F,2022-01-27,75.10414928742696
0YX0.F,2022-01-28,68.06051146104481
0YX0.F,2022-01-31,74.21038998618994
0YX0.F,2022-02-01,67.02814377279405
0YX0.F,2022-02-02,70.94990386633891
0YX0.F,2022-02-03,67.41940233003953
0YX0.F,2022-02-04,64.96033626706247
0YX0.F,2022-02-07,66.25891078700988
0YX0.F,2022-02-08,63.211492757698
0YX0.F,2022-02-09,70.49599953956482
0YX0.F,2022-02-10,73.01350320815463
0YX0.F,2022-02-11,63.77088715443865
0YX0.F,2022-02-14,58.522122632186914
0YX0.F,2022-02-15,59.864749497756314
0YX0.F,2022-02-16,53.2063465262449
0YX0.F,2022-02-17,53.813979522803265
0YX0.F,2022-02-18,60.43530406288266
0YX0.F,2022-02-21,59.02025797753276
0YX0.F,2022-02-22,52.97926381930359
0YX0.F,2022-02-23,53.073318284457145
0YX0.F,2022-02-24,60.409817563830465
0YX0.F,2022-02-25,61.551923196808055
0YX0.F,2022-02-28,61.412218254498725
0YX0.F,2022-03-01,64.8687339472039
0YX0.F,2022-03-02,67.21299592165978
0YX0.F,2022-03-03,56.51652324312364
0YX0.F,2022-03-04,55.28168280559449
0YX0.F,2022-03-07,62.60744846414531
0YX0.F,2022-03-08,62.09498238828941
0YX0.F,2022-03-09,53.34120790732282
0YX0.F,2022-03-10,59.22239612563279
0YX0.F,2022-03-11,58.32482907735399
0YX0.F,2022-03-14,53.15462094178588
0YX0.F,2022-03-15,53.94913608152557
0YX0.F,2022-03-16,53.24781031129712
0YX0.F,2022-03-17,60.06424232776355
0YX0.F,2022-03-18,51.970006469454155
0YX0.F,2022-03-21,56.89176361457356
0YX0.F,2022-03-22,51.421330642599045
0YX0.F,2022-03-23,58.76843636928555
0YX0.F,2022-03-24,62.74146718647598
0YX0.F,2022-03-25,52.07650054430416
0YX0.F,2022-03-28,57.92315789566544
0YX0.F,2022-03-30,51.58816192817967
0YX0.F,2022-03-31,58.91539075068996
0YX0.F,2022-04-04,59.94574726744337
0YX0.F,2022-04-05,62.16274538540156
0YX0.F,2022-04-06,66.13582344251321
0YX0.F,2022-04-07,58.186553559601116
0YX0.F,2022-04-08,60.41722758781764
0YX0.F,2022-04-11,54.90734465742793
0YX0.F,2022-04-12,56.36627976888375
0YX0.F,2022-04-13,61.63751822877893
0YX0.F,2022-04-14,55.3421523939675
0YX0.F,2022-04-19,58.10148739447842
0YX0.F,2022-04-20,51.54478487961267
0YX0.F,2022-04-21,53.23415831667716
0YX0.F,2022-04-22,53.983334936029465
0YX0.F,2022-04-25,59.133130436458785
0YX0.F,2022-04-26,59.0382981518767
0YX0.F,2022-04-27,46.91863829755277
0YX0.F,2022-04-28,58.54630182870471
0YX0.F,2022-04-29,58.68033330955335
0YX0.F,2022-05-03,54.12643855170408
0YX0.F,2022-05-04,55.427276234693814
0YX0.F,2022-05-06,45.13217942591633
0YX0.F,2022-05-09,50.808594025718065
0YX0.F,2022-05-10,43.829539151966934
0YX0.F,2022-05-11,52.06171987799053
0YX0.F,2022-05-12,44.714180765029695
0YX0.F,2022-05-13,49.571256522562166
0YX0.F,2022-05-19,46.23673762049512
0YX0.F,2022-05-20,54.07754217288974
0YX0.F,2022-05-23,48.396824672042484
0YX0.F,2022-05-24,50.31073666852814
0YX0.F,2022-05-25,52.6179055300937
0YX0.F,2022-05-26,45.18554755029386
0YX0.F,2022-05-31,58.8748827104017
0YX0.F,2022-06-01,56.04863247637793
0YX0.F,2022-06-02,52.12219649125526
0YX0.F,2022-06-03,48.407969588855345
0YX0.F,2022-06-06,47.87992226018452
0YX0.F,2022-06-09,47.69091540322945
0YX0.F,2022-06-10,54.82558425190873
0YX0.F,2022-06-13,53.00703326655058
0YX0.F,2022-06-14,50.530690897238024
0YX0.F,2022-06-15,51.54307474556314
0YX0.F,2022-06-16,47.944073881645195
0YX0.F,2022-06-20,44.73660472041579
0YX0.F,2022-06-21,42.76052261799016
0YX0.F,2022-06-22,50.49795915417078
0YX0.F,2022-06-23,47.07413960080156
0YX0.F,2022-06-24,53.26489518080293
0YX0.F,2022-06-29,52.14453971303109
0YX0.F,2022-06-30,53.526159646133856
0YX0.F,2022-07-01,49.3894434743293
0YX0.F,2022-07-04,46.17633268410024
0YX0.F,2022-07-05,55.904804589129014
0YX0.F,2022-07-06,50.46429386135255
0YX0.F,2022-07-11,57.726350214973635
0YX0.F,2022-07-12,53.12536947528652
0YX0.F,2022-07-14,48.54810731317006
0YX0.F,2022-07-15,57.44597684946214
0YX0.F,2022-07-18,57.57348183668416
0YX0.F,2022-07-19,59.234044967786325
0YX0.F,2022-07-21,57.72978625284713
0YX0.F,2022-07-22,63.62729597432561
0YX0.F,2022-07-25,52.67751015704443
0YX0.F,2022-07-26,55.96422778396125
0YX0.F,2022-07-27,52.46615988743181
0YX0.F,2022-07-28,56.363954629440784
0YX0.F,2022-07-29,56.741101341621814
0YX0.F,2022-08-03,58.39472359925656
2M7C.F,2022-01-03,86.0762285118316
2M7C.F,2022-01-04,76.20975348069356
2M7C.F,2022-01-05,77.0193865257911
2M7C.F,2022-01-07,68.41728011089005
2M7C.F,2022-01-10,73.64329830638312
2M7C.F,2022-01-12,76.92607751818643
2M7C.F,2022-01-13,74.83722718204858
2M7C.F,2022-01-14,87.39659514866692
2M7C.F,2022-01-18,81.59288560370459
2M7C.F,2022-01-19,80.84791769751264
2M7C.F,2022-01-20,87.08748047642032
2M7C.F,2022-01-21,83.99192614352557
2M7C.F,2022-01-24,70.22998533331855
2M7C.F,2022-01-25,85.46525869227847
2M7C.F,2022-01-26,82.43879544144168
2M7C.F,2022-01-27,79.15865009010842
2M7C.F,2022-01-28,69.62422527529917
2M7C.F,2022-01-31,68.91776897221621
2M7C.F,2022-02-08,67.99426585151954
2M7C.F,2022-02-09,70.39346779368486
2M7C.F,2022-02-10,81.69459752808653
2M7C.F,2022-02-11,70.75274269986907
2M7C.F,2022-02-14,72.21657357526536
2M7C.F,2022-02-15,80.52506592411741
2M7C.F,2022-02-16,71.06751817471799
2M7C.F,2022-02-17,79.27969588326773
2M7C.F,2022-02-18,77.20056156673266
2M7C.F,2022-02-22,79.1075471925207
2M7C.F,2022-02-23,72.12368895516101
2M7C.F,2022-02-24,85.74287182819357
2M7C.F,2022-02-25,77.89834053815333
2M7C.F,2022-03-01,82.7286772029139
2M7C.F,2022-03-02,82.72239591047212
2M7C.F,2022-03-03,69.66844230414686
2M7C.F,2022-03-04,78.04055136462638
2M7C.F,2022-03-07,82.03425752057774
2M7C.F,2022-03-08,71.93418470434469
