Symbol,Date,Closing_Price
05M.F,2022-01-05,0.48502754185132196
05M.F,2022-01-10,0.44328264660496375
05M.F,2022-01-13,0.4511731739408097
05M.F,2022-01-19,0.4912000089406466
05M.F,2022-01-21,0.49866470730627843
05M.F,2022-01-24,0.5465765401751079
05M.F,2022-01-27,0.5370384454206931
05M.F,2022-01-31,0.5452730635894899
05M.F,2022-02-01,0.4753370341335209
05M.F,2022-02-02,0.5431991156600467
05M.F,2022-02-04,0.44879331792435045
05M.F,2022-02-10,0.5154433100968413
05M.F,2022-02-14,0.49773277261985777
05M.F,2022-02-21,0.4797973836951887
05M.F,2022-02-23,0.4766624780709838
05M.F,2022-03-04,0.5091790237339783
05M.F,2022-03-11,0.4297688479338191
05M.F,2022-03-15,0.4633507778259578
05M.F,2022-03-25,0.47221593522484806
05M.F,2022-03-29,0.41610210407936427
05M.F,2022-03-30,0.44650280917591306
05M.F,2022-03-31,0.4683609841255073
05M.F,2022-04-06,0.46891821501364145
05M.F,2022-04-07,0.46034955183204346
05M.F,2022-04-22,0.5090094078352095
05M.F,2022-04-25,0.4664370856834439
05M.F,2022-04-29,0.45082150738561066
05M.F,2022-05-20,0.4624625414200455
05M.F,2022-05-23,0.4444427923131628
05M.F,2022-05-24,0.49180962418571467
05M.F,2022-05-26,0.4254667871210823
05M.F,2022-05-27,0.4015924427117768
05M.F,2022-05-30,0.47815038855471087
05M.F,2022-05-31,0.43638856072709054
05M.F,2022-06-01,0.5058174039326514
05M.F,2022-06-03,0.4751218835112076
05M.F,2022-06-07,0.43781732667192047
05M.F,2022-06-08,0.4789389017670143
05M.F,2022-06-10,0.4584193443420445
05M.F,2022-06-14,0.44355424378340874
05M.F,2022-06-15,0.4750691453027134
05M.F,2022-06-16,0.5115262300216136
05M.F,2022-06-17,0.43447374672358474
05M.F,2022-06-21,0.5137731413152377
05M.F,2022-06-22,0.4281897440899784
05M.F,2022-06-24,0.45959705454744676
05M.F,2022-06-27,0.4546636420692848
05M.F,2022-06-28,0.46034144628622187
05M.F,2022-06-29,0.4987755780996655
05M.F,2022-07-01,0.4894130497302701
05M.F,2022-07-04,0.44613033029404586
05M.F,2022-07-05,0.46914037949101695
05M.F,2022-07-06,0.4983702673441226
05M.F,2022-07-07,0.47710257317179183
05M.F,2022-07-12,0.5270311222974801
05M.F,2022-07-20,0.5302358779516432
05M.F,2022-07-21,0.5120199934146412
05M.F,2022-07-22,0.5296796204439111
05M.F,2022-07-25,0.5310040358293859
05M.F,2022-07-27,0.45472870652152697
05M.F,2022-07-29,0.4375897831329109
05M.F,2022-08-01,0.45922962479692786
05M.F,2022-08-03,0.4379922819749007
05M.F,2022-08-05,0.44869681670904515
2M7C.F,2022-01-03,1.4451511292032457
2M7C.F,2022-01-04,1.4319164339776023
2M7C.F,2022-01-05,1.5149028797427773
2M7C.F,2022-01-07,1.4143802455872838
2M7C.F,2022-01-10,1.428935330338058
2M7C.F,2022-01-12,1.7368512296210366
2M7C.F,2022-01-13,1.4151629444525864
2M7C.F,2022-01-14,1.476176629587674
2M7C.F,2022-01-18,1.4825676921575541
2M7C.F,2022-01-19,1.6583958920504007
2M7C.F,2022-01-20,1.602753710415738
2M7C.F,2022-01-21,1.4434448128165323
2M7C.F,2022-01-24,1.400427715066991
2M7C.F,2022-01-25,1.396125780395716
2M7C.F,2022-01-26,1.4934724208439385
2M7C.F,2022-01-27,1.4397711253247425
