Name,Date,Value
Aerospace & Defense,2022-01-03,124.19668033574654
Aerospace & Defense,2022-01-04,137.23694640298015
Aerospace & Defense,2022-01-05,122.36195183802336
Aerospace & Defense,2022-01-06,124.14479280256948
Aerospace & Defense,2022-01-07,136.7583044104631
Aerospace & Defense,2022-01-10,127.52295061524933
Aerospace & Defense,2022-01-11,129.2374756393413
Aerospace & Defense,2022-01-12,123.63919077263628
Aerospace & Defense,2022-01-13,114.74055360355666
Aerospace & Defense,2022-01-14,126.35890261742686
Aerospace & Defense,2022-01-19,126.09958862778433
Aerospace & Defense,2022-01-20,122.32846072359561
Aerospace & Defense,2022-01-21,127.10223062057267
Aerospace & Defense,2022-01-24,119.01902656676587
Aerospace & Defense,2022-01-25,128.5966604850792
Aerospace & Defense,2022-01-26,131.41878548909452
Aerospace & Defense,2022-01-27,112.31621360375699
Aerospace & Defense,2022-01-28,113.1082939527163
Aerospace & Defense,2022-01-31,124.84790525838964
Aerospace & Defense,2022-02-01,132.4520663134752
Aerospace & Defense,2022-02-02,115.46977765942546
Aerospace & Defense,2022-02-03,122.87621310883043
Aerospace & Defense,2022-02-04,111.25013730636046
Aerospace & Defense,2022-02-07,110.73781219709318
Aerospace & Defense,2022-02-08,111.73042799535011
Aerospace & Defense,2022-02-11,116.22131856248201
Aerospace & Defense,2022-02-14,129.79310460914974
Aerospace & Defense,2022-02-16,129.92881475009347
Aerospace & Defense,2022-02-17,113.25925539582944
Aerospace & Defense,2022-02-18,123.29738734444139
Aerospace & Defense,2022-02-21,123.30270966004454
Aerospace & Defense,2022-02-22,130.85426936504564
Aerospace & Defense,2022-02-23,116.77364542761899
Aerospace & Defense,2022-02-24,117.96973931821204
Aerospace & Defense,2022-02-25,135.61359823229287
Aerospace & Defense,2022-02-28,144.76789054189862
Aerospace & Defense,2022-03-01,146.0091103318569
Aerospace & Defense,2022-03-02,126.5672259152797
Aerospace & Defense,2022-03-03,148.45811537257796
Aerospace & Defense,2022-03-04,132.8703358531575
Aerospace & Defense,2022-03-07,139.37507735954736
Aerospace & Defense,2022-03-08,147.14292605251242
Aerospace & Defense,2022-03-09,140.3082613582726
Aerospace & Defense,2022-03-10,119.67228218432237
Aerospace & Defense,2022-03-11,144.63671081766
Aerospace & Defense,2022-03-14,133.08250572425848
Aerospace & Defense,2022-03-15,122.1690322805645
Aerospace & Defense,2022-03-16,139.03710609020465
Aerospace & Defense,2022-03-17,131.58749193533646
Aerospace & Defense,2022-03-18,141.56834485357413
Aerospace & Defense,2022-03-21,133.12793828205872
Aerospace & Defense,2022-03-22,140.82977919414276
Aerospace & Defense,2022-03-23,146.7812607316068
Aerospace & Defense,2022-03-24,126.15394877245438
Aerospace & Defense,2022-03-25,150.69316584935484
Aerospace & Defense,2022-03-28,141.3824385880001
Aerospace & Defense,2022-03-29,136.80853530779513
Aerospace & Defense,2022-03-30,127.99636819724581
Aerospace & Defense,2022-03-31,120.84990497607497
Aerospace & Defense,2022-04-01,138.98381494739144
Aerospace & Defense,2022-04-04,134.84099100733945
Aerospace & Defense,2022-04-05,139.5559315205715
Aerospace & Defense,2022-04-06,135.24563310106726
Aerospace & Defense,2022-04-07,140.6394826508701
Aerospace & Defense,2022-04-08,139.35481201184305
Aerospace & Defense,2022-04-11,132.31715900775106
Aerospace & Defense,2022-04-12,149.4958070850308
Aerospace & Defense,2022-04-13,151.32639828204506
Aerospace & Defense,2022-04-14,140.03605818746408
Aerospace & Defense,2022-04-19,133.5221159448542
Aerospace & Defense,2022-04-20,129.435317999769
Aerospace & Defense,2022-04-21,135.4105326725017
Aerospace & Defense,2022-04-22,134.27672909540624
Aerospace & Defense,2022-04-25,144.4351402918184
Aerospace & Defense,2022-04-26,145.48334127500402
Aerospace & Defense,2022-04-27,128.57527098327913
Aerospace & Defense,2022-04-28,134.0384401419219
Aerospace & Defense,2022-04-29,128.006705940788
Aerospace & Defense,2022-05-02,133.3519797767446
Aerospace & Defense,2022-05-03,147.82856446607184
Aerospace & Defense,2022-05-04,124.27832146239376
Aerospace & Defense,2022-05-05,141.2920806409268
Aerospace & Defense,2022-05-06,125.84436875042793
Aerospace & Defense,2022-05-09,120.00326145771957
Aerospace & Defense,2022-05-10,130.77065283158709
Aerospace & Defense,2022-05-11,139.60324870279243
Aerospace & Defense,2022-05-12,140.73712449996387
Aerospace & Defense,2022-05-13,144.57190532334835
Aerospace & Defense,2022-05-16,136.7762591123619
Aerospace & Defense,2022-05-17,134.94694325790277
Aerospace & Defense,2022-05-18,124.327136986605
Aerospace & Defense,2022-05-19,121.34680915971566
Aerospace & Defense,2022-05-20,129.71980458513698
Aerospace & Defense,2022-05-23,136.1199785100894
Aerospace & Defense,2022-05-24,129.61921269724795
Aerospace & Defense,2022-05-25,139.5741333151648
Aerospace & Defense,2022-05-26,139.8159139382001
Aerospace & Defense,2022-05-27,141.18689421595235
Aerospace & Defense,2022-05-30,125.09777947754077
Aerospace & Defense,2022-05-31,124.7044531937866
Aerospace & Defense,2022-06-01,132.22086238411626
Aerospace & Defense,2022-06-02,124.10297575397315
Aerospace & Defense,2022-06-03,138.05160420695907
Aerospace & Defense,2022-06-06,131.3409929628852
Aerospace & Defense,2022-06-07,135.42542900089396
Aerospace & Defense,2022-06-08,122.91258199660797
Aerospace & Defense,2022-06-09,128.81157953439413
Aerospace & Defense,2022-06-10,145.1631037093649
Aerospace & Defense,2022-06-13,129.82117492364276
Aerospace & Defense,2022-06-14,128.82928835621942
Aerospace & Defense,2022-06-15,126.7099228759751
Aerospace & Defense,2022-06-16,142.61317724755932
Aerospace & Defense,2022-06-17,116.69113242098706
Aerospace & Defense,2022-06-20,132.55034208159756
Aerospace & Defense,2022-06-21,132.25762652745453
Aerospace & Defense,2022-06-22,121.6190290112825
Aerospace & Defense,2022-06-23,134.22177078929604
Aerospace & Defense,2022-06-24,133.46871686107332
Aerospace & Defense,2022-06-27,140.32948383909692
Aerospace & Defense,2022-06-28,131.90581108114247
Aerospace & Defense,2022-06-29,138.48121747939138
Aerospace & Defense,2022-06-30,123.42887545602926
Aerospace & Defense,2022-07-01,123.16983699593564
Aerospace & Defense,2022-07-04,129.02669012656946
Aerospace & Defense,2022-07-05,143.97966092097008
Aerospace & Defense,2022-07-06,142.94537533776344
Aerospace & Defense,2022-07-07,128.19112439861348
Aerospace & Defense,2022-07-08,144.58815273238713
Aerospace & Defense,2022-07-11,131.53169113392588
Aerospace & Defense,2022-07-12,140.79420488613147
Aerospace & Defense,2022-07-13,144.7194986708537
Aerospace & Defense,2022-07-14,141.8288222442045
Aerospace & Defense,2022-07-15,119.24754710718983
Aerospace & Defense,2022-07-18,124.61415784257123
Aerospace & Defense,2022-07-19,115.82480386694414
Aerospace & Defense,2022-07-20,133.13127202807024
Aerospace & Defense,2022-07-21,117.94197350519708
Aerospace & Defense,2022-07-22,132.28490043447414
Aerospace & Defense,2022-07-25,141.6204267613205
